MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1917580	Bclaf1	BCL2-associated transcription factor 1	10		mediator complex			IBA	PTN000392101 	J:265628 	
MGI:2685992	Bclaf3	Bclaf1 and Thrap3 family member 3	X		mediator complex			IBA	PTN000392101 	J:265628 	
MGI:1858199	Ccnc	cyclin C	4		mediator complex			IBA	PTN000002587 	J:265628 	
MGI:1858199	Ccnc	cyclin C	4		mediator complex			IDA		J:92973 	
MGI:88357	Cdk4	cyclin-dependent kinase 4	10		mediator complex			IBA	PTN000623092 	J:265628 	
MGI:1277162	Cdk6	cyclin-dependent kinase 6	5		mediator complex			IBA	PTN000623092 	J:265628 	
MGI:1196224	Cdk8	cyclin-dependent kinase 8	5		mediator complex			IBA	PTN000623092 	J:265628 	
MGI:1196224	Cdk8	cyclin-dependent kinase 8	5		mediator complex			IDA		J:92973 	
MGI:1196224	Cdk8	cyclin-dependent kinase 8	5		mediator complex			ISO	P49336 	J:88488 J:164563 	
MGI:1328368	Cdk9	cyclin-dependent kinase 9 (CDC2-related kinase)	2		mediator complex			IBA	PTN000623092 	J:265628 	
MGI:1925584	Cdk19	cyclin-dependent kinase 19	10		mediator complex			IBA	PTN000623092 	J:265628 	
MGI:5141982	Gm20517	predicted gene 20517	17		mediator complex			IBA	PTN000279568 	J:265628 	
MGI:1100846	Med1	mediator complex subunit 1	11		mediator complex			IBA	PTN004391415 	J:265628 	
MGI:1100846	Med1	mediator complex subunit 1	11		mediator complex		PR:Q925J9-1	IDA		J:162104 	
MGI:1100846	Med1	mediator complex subunit 1	11		mediator complex			IDA		J:77765 J:92973 	
MGI:1100846	Med1	mediator complex subunit 1	11		mediator complex			ISO	Q15648 	J:73065 J:88488 	
MGI:1914631	Med4	mediator complex subunit 4	14		mediator complex		PR:Q9CQA5-1	IDA		J:162104 	
MGI:1914631	Med4	mediator complex subunit 4	14		mediator complex			IDA		J:92973 	
MGI:1914631	Med4	mediator complex subunit 4	14		mediator complex			ISO	Q9NPJ6 	J:88488 J:164563 	
MGI:1917042	Med6	mediator complex subunit 6	12		mediator complex			IBA	PTN000318543 	J:265628 	
MGI:1917042	Med6	mediator complex subunit 6	12		mediator complex		PR:Q921D4-1	IDA		J:162104 	
MGI:1917042	Med6	mediator complex subunit 6	12		mediator complex			IDA		J:92973 	
MGI:1917042	Med6	mediator complex subunit 6	12		mediator complex			ISO	O75586 	J:73065 J:88488 	
MGI:1913463	Med7	mediator complex subunit 7	11		mediator complex			IBA	PTN000484473 	J:265628 	
MGI:1913463	Med7	mediator complex subunit 7	11		mediator complex			IDA		J:92973 	
MGI:1915269	Med8	mediator complex subunit 8	4		mediator complex			IBA	PTN001405709 	J:265628 	
