MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		histone H3K36 methyltransferase activity			ISO	Q9NR48 	J:164563 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		histone H3K4 methyltransferase activity			IBA	PTN008191467 	J:265628 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		histone H3K4 methyltransferase activity			IDA		J:208213 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		histone H3K9 methyltransferase activity			IDA		J:269562 	
MGI:2183158	Ash1l	ASH1 like histone lysine methyltransferase	3		histone lysine N-methyltransferase activity			IEA	IPR006560 	J:72247 	
MGI:1344416	Ash2l	ASH2 like histone lysine methyltransferase complex subunit	8	contributes_to	histone H3K4 methyltransferase activity			ISO	Q9UBL3 	J:164563 	
MGI:1344416	Ash2l	ASH2 like histone lysine methyltransferase complex subunit	8	contributes_to	histone H3K4 methyltransferase activity	happens in embryonic stem cell,happens in chromatin		TAS		J:185349 	
MGI:1913208	Carm1	coactivator-associated arginine methyltransferase 1	9		histone arginine N-methyltransferase activity			ISO	Q86X55 	J:164563 	
MGI:1913208	Carm1	coactivator-associated arginine methyltransferase 1	9		histone H3R17 methyltransferase activity			IDA		J:172897 	
MGI:1913208	Carm1	coactivator-associated arginine methyltransferase 1	9		histone methyltransferase activity			IDA		J:168193 	
MGI:1913208	Carm1	coactivator-associated arginine methyltransferase 1	9		histone methyltransferase activity			ISO	Q86X55 	J:164563 	
MGI:1921572	Cxxc1	CXXC finger 1 (PHD domain)	18	contributes_to	histone H3K4 methyltransferase activity			IBA	PTN005285390 	J:265628 	
MGI:1921572	Cxxc1	CXXC finger 1 (PHD domain)	18	contributes_to	histone H3K4 methyltransferase activity			ISO	Q9P0U4 	J:164563 	
MGI:2143886	Dot1l	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	10		histone H3K79 methyltransferase activity			IBA	PTN000485246 	J:265628 	
MGI:2143886	Dot1l	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	10		histone lysine N-methyltransferase activity			ISO	Q8TEK3 	J:164563 	
MGI:2143886	Dot1l	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	10		histone methyltransferase activity			IDA		J:87894 	
MGI:2143886	Dot1l	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	10		histone methyltransferase activity			ISO	Q8TEK3 	J:98959 	
MGI:95286	Eed	embryonic ectoderm development	7		histone methyltransferase activity			ISO	O75530 	J:73065 	
MGI:1924933	Ehmt1	euchromatic histone methyltransferase 1	2		histone H3K27 methyltransferase activity			IDA		J:97244 	
MGI:1924933	Ehmt1	euchromatic histone methyltransferase 1	2		histone H3K9 methyltransferase activity			IBA	PTN002505142 	J:265628 	
MGI:1924933	Ehmt1	euchromatic histone methyltransferase 1	2		histone H3K9 methyltransferase activity			IDA		J:97244 	
MGI:1924933	Ehmt1	euchromatic histone methyltransferase 1	2		histone H3K9 methyltransferase activity			IMP		J:143343 	
MGI:1924933	Ehmt1	euchromatic histone methyltransferase 1	2		histone lysine N-methyltransferase activity			ISO	Q9H9B1 	J:164563 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone H3K27 methyltransferase activity			IDA		J:97244 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone H3K9 methyltransferase activity			EXP		J:231284 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone H3K9 methyltransferase activity			IBA	PTN002505142 	J:265628 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone H3K9 methyltransferase activity			IDA		J:97244 J:148615 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone H3K9 methyltransferase activity			IMP		J:143343 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone lysine N-methyltransferase activity			IDA		J:148615 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone lysine N-methyltransferase activity			IMP		J:184478 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17		histone lysine N-methyltransferase activity			ISO	Q96KQ7 	J:148615 J:164563 	
MGI:1097695	Ezh1	enhancer of zeste 1 polycomb repressive complex 2 subunit	11		histone H3K27 methyltransferase activity			IBA	PTN000768863 	J:265628 	
MGI:1097695	Ezh1	enhancer of zeste 1 polycomb repressive complex 2 subunit	11		histone H3K27 methyltransferase activity			IDA		J:148710 	
MGI:1097695	Ezh1	enhancer of zeste 1 polycomb repressive complex 2 subunit	11		histone lysine N-methyltransferase activity			IEA	IPR021654 IPR032926 IPR044438 IPR045318 	J:72247 	
MGI:107940	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	6		histone H3K27 methyltransferase activity			IBA	PTN000768863 	J:265628 	
MGI:107940	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	6		histone H3K27 methyltransferase activity			ISO	Q15910 	J:164563 	
MGI:107940	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	6		histone lysine N-methyltransferase activity			ISO	Q15910 	J:148615 J:164563 	
MGI:107940	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	6		histone methyltransferase activity			IDA		J:84664 	
MGI:107940	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit	6		histone methyltransferase activity			ISO	Q15910 	J:73065 	
MGI:95486	Fbl	fibrillarin	7		histone glutamine N-methyltransferase activity			IBA	PTN000036740 	J:265628 	
MGI:95486	Fbl	fibrillarin	7		histone glutamine N-methyltransferase activity			ISO	P22087 	J:164563 	
MGI:3034689	Fbll1	fibrillarin-like 1	11		histone glutamine N-methyltransferase activity			IBA	PTN000036740 	J:265628 	
MGI:104813	Jarid2	jumonji, AT rich interactive domain 2	13	NOT|contributes_to	histone H3K27 methyltransferase activity			IDA		J:157630 	
MGI:104813	Jarid2	jumonji, AT rich interactive domain 2	13	contributes_to	histone H3K27 methyltransferase activity			IDA		J:157724 	
MGI:96995	Kmt2a	lysine (K)-specific methyltransferase 2A	9		histone H3K4 methyltransferase activity			IBA	PTN002911713 	J:265628 	
MGI:96995	Kmt2a	lysine (K)-specific methyltransferase 2A	9		histone H3K4 methyltransferase activity			IDA		J:80575 	
MGI:96995	Kmt2a	lysine (K)-specific methyltransferase 2A	9		histone H3K4 methyltransferase activity			ISO	Q03164 	J:164563 	
MGI:109565	Kmt2b	lysine (K)-specific methyltransferase 2B	7		histone H3K4 methyltransferase activity			IBA	PTN002911713 	J:265628 	
MGI:109565	Kmt2b	lysine (K)-specific methyltransferase 2B	7		histone H3K4 methyltransferase activity			ISO	Q9UMN6 	J:123598 	
MGI:2444959	Kmt2c	lysine (K)-specific methyltransferase 2C	5		histone H3K4 methyltransferase activity			IBA	PTN002505160 	J:265628 	
MGI:2444959	Kmt2c	lysine (K)-specific methyltransferase 2C	5		histone H3K4 methyltransferase activity			ISO	Q8NEZ4 	J:123598 	
MGI:2444959	Kmt2c	lysine (K)-specific methyltransferase 2C	5		histone methyltransferase activity			ISO	Q8NEZ4 	J:164563 	
MGI:2682319	Kmt2d	lysine (K)-specific methyltransferase 2D	15		histone H3K4 methyltransferase activity			IBA	PTN002505160 	J:265628 	
MGI:1915206	Kmt5a	lysine methyltransferase 5A	5		histone H4K20 methyltransferase activity			IBA	PTN002920257 	J:265628 	
MGI:1915206	Kmt5a	lysine methyltransferase 5A	5		histone H4K20 methyltransferase activity			ISO	Q9NQR1 	J:164563 	
MGI:1915206	Kmt5a	lysine methyltransferase 5A	5		histone lysine N-methyltransferase activity			ISO	Q9NQR1 	J:164563 	
MGI:2444557	Kmt5b	lysine methyltransferase 5B	19		histone H4K20 methyltransferase activity			IBA	PTN000312154 	J:265628 	
MGI:2444557	Kmt5b	lysine methyltransferase 5B	19		histone H4K20 methyltransferase activity			IDA		J:90491 J:211428 	
MGI:2444557	Kmt5b	lysine methyltransferase 5B	19		histone H4K20 methyltransferase activity			ISO	Q4FZB7 	J:164563 	
MGI:2444557	Kmt5b	lysine methyltransferase 5B	19		histone lysine N-methyltransferase activity			ISO	Q4FZB7 	J:164563 	
MGI:2385262	Kmt5c	lysine methyltransferase 5C	7		histone H4K20 methyltransferase activity			IBA	PTN000312154 	J:265628 	
MGI:2385262	Kmt5c	lysine methyltransferase 5C	7		histone H4K20 methyltransferase activity			IDA		J:90491 	
MGI:2385262	Kmt5c	lysine methyltransferase 5C	7		histone H4K20 methyltransferase activity			ISO	Q86Y97 	J:164563 	
MGI:95457	Mecom	MDS1 and EVI1 complex locus	3		histone H3K9 methyltransferase activity			IDA		J:269562 	
MGI:1921569	Mettl23	methyltransferase like 23	11		histone H3R17 methyltransferase activity			IDA		J:254851 	
MGI:1915018	N6amt1	N-6 adenine-specific DNA methyltransferase 1 (putative)	16		histone lysine N-methyltransferase activity			ISO	Q9Y5N5 	J:164563 	
MGI:1276545	Nsd1	nuclear receptor-binding SET-domain protein 1	13		histone H3K36 methyltransferase activity			IBA	PTN002739645 	J:265628 	
MGI:1276545	Nsd1	nuclear receptor-binding SET-domain protein 1	13		histone H3K36 methyltransferase activity			IDA		J:83923 	
MGI:1276545	Nsd1	nuclear receptor-binding SET-domain protein 1	13		histone H3K36 methyltransferase activity			ISO	Q96L73 	J:164563 	
MGI:1276545	Nsd1	nuclear receptor-binding SET-domain protein 1	13		histone H4K20 methyltransferase activity			IDA		J:83923 	
MGI:1276545	Nsd1	nuclear receptor-binding SET-domain protein 1	13		histone lysine N-methyltransferase activity			IEA	IPR006560 	J:72247 	
MGI:1276545	Nsd1	nuclear receptor-binding SET-domain protein 1	13		histone methyltransferase activity			IDA		J:83923 	
MGI:1276574	Nsd2	nuclear receptor binding SET domain protein 2	5		histone H3K36 methyltransferase activity			IBA	PTN002739645 	J:265628 	
MGI:1276574	Nsd2	nuclear receptor binding SET domain protein 2	5		histone H3K36 methyltransferase activity			ISO	O96028 	J:164563 	
MGI:1276574	Nsd2	nuclear receptor binding SET domain protein 2	5		histone lysine N-methyltransferase activity			IDA		J:150360 	
MGI:2142581	Nsd3	nuclear receptor binding SET domain protein 3	8		histone H3K27 methyltransferase activity			IDA		J:108985 	
MGI:2142581	Nsd3	nuclear receptor binding SET domain protein 3	8		histone H3K36 methyltransferase activity			IBA	PTN002739645 	J:265628 	
MGI:2142581	Nsd3	nuclear receptor binding SET domain protein 3	8		histone H3K4 methyltransferase activity			IDA		J:108985 	
