MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3039600	Fbxl19	F-box and leucine-rich repeat protein 19	7		histone demethylase activity			IBA	PTN000564171 	J:265628 	
MGI:96223	Hr	lysine demethylase and nuclear receptor corepressor	14		histone H3K9 demethylase activity			IBA	PTN000284569 	J:265628 	
MGI:96223	Hr	lysine demethylase and nuclear receptor corepressor	14		histone H3K9me/H3K9me2 demethylase activity			IEA	1.14.11.65 	J:72245 	
MGI:104813	Jarid2	jumonji, AT rich interactive domain 2	13	NOT	histone demethylase activity			IDA		J:157724 	
MGI:104813	Jarid2	jumonji, AT rich interactive domain 2	13	NOT	histone H3K4me/H3K4me2/H3K4me3 demethylase activity			IBA	PTN000075015 PTN000075019 	J:265628 	
MGI:1918614	Jmjd1c	jumonji domain containing 1C	10		histone H3K9 demethylase activity			IBA	PTN000284569 	J:265628 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		histone demethylase activity			ISO	Q6NYC1 	J:164563 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		histone H3R2 demethylase activity			ISO	Q6NYC1 	J:164563 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		histone H3R3 demethylase activity			IBA	PTN000280518 	J:265628 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		histone H3R3 demethylase activity			ISO	Q6NYC1 	J:164563 	
MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	4		FAD-dependent H3K4me/H3K4me3 demethylase activity			IDA		J:211358 	
MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	4		FAD-dependent H3K4me/H3K4me3 demethylase activity			ISO	O60341 	J:164563 	
MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	4		histone demethylase activity			ISO	O60341 	J:164563 	
MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	4		histone H3K4 demethylase activity			ISO	O60341 	J:164563 	
MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	4		histone H3K9 demethylase activity			ISO	O60341 	J:164563 	
MGI:2145261	Kdm1b	lysine (K)-specific demethylase 1B	13		FAD-dependent H3K4me/H3K4me3 demethylase activity			IDA		J:151192 J:152382 	
MGI:2145261	Kdm1b	lysine (K)-specific demethylase 1B	13		FAD-dependent H3K4me/H3K4me3 demethylase activity			ISO	Q8NB78 	J:164563 	
