MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3045300	4930595M18Rik	RIKEN cDNA 4930595M18 gene	X		mRNA splicing, via spliceosome			IBA	PTN000567445 	J:265628 	
MGI:1915545	Aar2	AAR2 splicing factor homolog	2		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1915545	Aar2	AAR2 splicing factor homolog	2		spliceosomal tri-snRNP complex assembly			IBA	PTN000294070 	J:265628 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		negative regulation of mRNA splicing, via spliceosome			ISO	Q9UKV3 	J:164563 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		RNA splicing			IBA	PTN005311338 	J:265628 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			IBA	PTN002575678 	J:265628 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			IDA		J:157426 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			ISO	P51816 	J:164563 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1316648	Ahnak	AHNAK nucleoprotein (desmoyokin)	19		regulation of RNA splicing			IBA	PTN001156025 	J:265628 	
MGI:1316648	Ahnak	AHNAK nucleoprotein (desmoyokin)	19		regulation of RNA splicing	uses UniProtKB:E9Q616		IDA		J:205645 	
MGI:2144831	Ahnak2	AHNAK nucleoprotein 2	12		regulation of RNA splicing			IBA	PTN001156025 	J:265628 	
MGI:2443758	Akap17b	A kinase (PRKA) anchor protein 17B	X		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1933427	Akr1c6	aldo-keto reductase family 1, member C6	13		negative regulation of mRNA splicing, via spliceosome			IMP		J:204486 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		negative regulation of RNA splicing			ISO	RGD:2082 	J:155856 	
MGI:1341044	Alyref	Aly/REF export factor	11		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1913144	Alyref2	Aly/REF export factor 2	1		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1276102	Aqr	aquarius	2		mRNA splicing, via spliceosome			ISO	O60306 	J:164563 	
MGI:1276102	Aqr	aquarius	2		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1929500	Arl6ip4	ADP-ribosylation factor-like 6 interacting protein 4	5		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:109620	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	16		RNA splicing			ISO	O00192 	J:164563 	
MGI:2179277	Atxn7	ataxin 7	14		regulation of RNA splicing			IC		J:320036 	
MGI:3036270	Atxn7l3	ataxin 7-like 3	11		regulation of RNA splicing			IC		J:320036 	
MGI:2385132	BC005624	cDNA sequence BC005624	2		mRNA splicing, via spliceosome			IBA	PTN000337000 	J:265628 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA splicing, via spliceosome			IC		J:320339 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA splicing, via spliceosome			ISO	O75934 	J:164563 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1891374	Brdt	bromodomain, testis-specific	5		regulation of RNA splicing			IMP		J:190257 	
MGI:1891374	Brdt	bromodomain, testis-specific	5		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2443443	Bud13	BUD13 homolog	9		mRNA splicing, via spliceosome			IBA	PTN000781455 	J:265628 	
MGI:2443443	Bud13	BUD13 homolog	9		mRNA splicing, via spliceosome			ISO	Q9BRD0 	J:164563 	
MGI:2443443	Bud13	BUD13 homolog	9		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2141291	Bud31	BUD31 homolog	5		mRNA splicing, via spliceosome			IBA	PTN000454176 	J:265628 	
MGI:2141291	Bud31	BUD31 homolog	5		mRNA splicing, via spliceosome			ISO	P41223 	J:164563 	
MGI:2141291	Bud31	BUD31 homolog	5		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1194505	C1qbp	complement component 1, q subcomponent binding protein	11		negative regulation of mRNA splicing, via spliceosome			IBA	PTN000088834 	J:265628 	
MGI:1194505	C1qbp	complement component 1, q subcomponent binding protein	11		negative regulation of mRNA splicing, via spliceosome			ISO	Q07021 	J:164563 	
MGI:1194505	C1qbp	complement component 1, q subcomponent binding protein	11		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1917562	Cactin	cactin, spliceosome C complex subunit	10		mRNA cis splicing, via spliceosome			IBA	PTN000497525 	J:265628 	
MGI:1917562	Cactin	cactin, spliceosome C complex subunit	10		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2179723	Casc3	cancer susceptibility candidate 3	11		mRNA splicing, via spliceosome			ISO	O15234 	J:164563 	
MGI:2179723	Casc3	cancer susceptibility candidate 3	11		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2444228	Ccar2	cell cycle activator and apoptosis regulator 2	14		RNA splicing			IBA	PTN002682436 	J:265628 	
MGI:2444228	Ccar2	cell cycle activator and apoptosis regulator 2	14		RNA splicing			ISO	Q8N163 	J:164563 	
MGI:1914986	Ccdc130	coiled-coil domain containing 130	8		mRNA splicing, via spliceosome			IEA	IPR007590 	J:72247 	
MGI:1914986	Ccdc130	coiled-coil domain containing 130	8		RNA splicing			IBA	PTN000251377 	J:265628 	
MGI:1922664	Ccnl1	cyclin L1	3		regulation of RNA splicing			ISO	Q9UK58 	J:164563 	
MGI:1927119	Ccnl2	cyclin L2	4		regulation of RNA splicing			ISO	Q96S94 	J:164563 	
MGI:1917483	Cd2bp2	CD2 cytoplasmic tail binding protein 2	7		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1918952	Cdc5l	cell division cycle 5-like (S. pombe)	17		mRNA splicing, via spliceosome			IBA	PTN000067719 	J:265628 	
MGI:1918952	Cdc5l	cell division cycle 5-like (S. pombe)	17		mRNA splicing, via spliceosome			IC		J:320339 	
MGI:1918952	Cdc5l	cell division cycle 5-like (S. pombe)	17		mRNA splicing, via spliceosome			ISO	Q99459 	J:164563 	
MGI:1918952	Cdc5l	cell division cycle 5-like (S. pombe)	17		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1918963	Cdc40	cell division cycle 40	10		mRNA splicing, via spliceosome			IBA	PTN000457693 	J:265628 	
MGI:1918963	Cdc40	cell division cycle 40	10		mRNA splicing, via spliceosome			ISO	O60508 	J:164563 	
MGI:1918963	Cdc40	cell division cycle 40	10		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1098802	Cdk12	cyclin-dependent kinase 12	11		regulation of RNA splicing			ISO	RGD:621111 	J:155856 	
MGI:1098802	Cdk12	cyclin-dependent kinase 12	11		RNA splicing			ISO	RGD:621111 	J:155856 	
MGI:1916812	Cdk13	cyclin-dependent kinase 13	13		alternative mRNA splicing, via spliceosome			IDA		J:118326 	
MGI:1916812	Cdk13	cyclin-dependent kinase 13	13		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		mRNA splice site selection			IBA	PTN002769006 	J:265628 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		mRNA splice site selection			IDA		J:67386 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		mRNA splice site selection			ISO	Q92879 	J:164563 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		regulation of alternative mRNA splicing, via spliceosome			IBA	PTN002769006 	J:265628 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		regulation of alternative mRNA splicing, via spliceosome	uses PR:Q8BP71-7		IDA		J:286588 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		regulation of alternative mRNA splicing, via spliceosome	uses PR:Q8BP71-7		IMP		J:286588 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		regulation of RNA splicing			ISO	Q92879 	J:164563 	
MGI:1342295	Celf1	CUGBP, Elav-like family member 1	2		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1338822	Celf2	CUGBP, Elav-like family member 2	2		mRNA splice site selection			IBA	PTN002769006 	J:265628 	
MGI:1338822	Celf2	CUGBP, Elav-like family member 2	2		mRNA splice site selection			IDA		J:67386 	
MGI:1338822	Celf2	CUGBP, Elav-like family member 2	2		mRNA splice site selection			ISO	O95319 	J:164563 	
MGI:1338822	Celf2	CUGBP, Elav-like family member 2	2		regulation of alternative mRNA splicing, via spliceosome			IBA	PTN002769006 	J:265628 	
MGI:1926034	Celf3	CUGBP, Elav-like family member 3	3		mRNA splice site selection			IBA	PTN002769006 	J:265628 	
MGI:1926034	Celf3	CUGBP, Elav-like family member 3	3		positive regulation of mRNA splicing, via spliceosome			ISO	Q5SZQ8 	J:164563 	
MGI:1926034	Celf3	CUGBP, Elav-like family member 3	3		regulation of alternative mRNA splicing, via spliceosome			IBA	PTN002769006 	J:265628 	
MGI:1926034	Celf3	CUGBP, Elav-like family member 3	3		regulation of alternative mRNA splicing, via spliceosome			ISO	Q5SZQ8 	J:164563 	
MGI:1926034	Celf3	CUGBP, Elav-like family member 3	3		RNA splicing			ISO	Q5SZQ8 	J:164563 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		mRNA splice site selection			IBA	PTN002769006 	J:265628 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		mRNA splice site selection			IDA		J:67386 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		negative regulation of mRNA splicing, via spliceosome			IMP		J:204486 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		positive regulation of mRNA splicing, via spliceosome			ISO	Q9BZC1 	J:164563 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		regulation of alternative mRNA splicing, via spliceosome			IBA	PTN002769006 	J:265628 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		regulation of alternative mRNA splicing, via spliceosome			ISO	Q9BZC1 	J:73065 	
MGI:1932407	Celf4	CUGBP, Elav-like family member 4	18		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2442333	Celf5	CUGBP, Elav-like family member 5	10		mRNA splice site selection			IBA	PTN002769006 	J:265628 	
MGI:2442333	Celf5	CUGBP, Elav-like family member 5	10		regulation of alternative mRNA splicing, via spliceosome			IBA	PTN002769006 	J:265628 	
MGI:2442333	Celf5	CUGBP, Elav-like family member 5	10		regulation of alternative mRNA splicing, via spliceosome			ISO	Q8N6W0 	J:164563 	
MGI:1923433	Celf6	CUGBP, Elav-like family member 6	9		mRNA splice site selection			IBA	PTN002769006 	J:265628 	
MGI:1923433	Celf6	CUGBP, Elav-like family member 6	9		regulation of alternative mRNA splicing, via spliceosome			IBA	PTN002769006 	J:265628 	
MGI:1923433	Celf6	CUGBP, Elav-like family member 6	9		regulation of alternative mRNA splicing, via spliceosome			ISO	Q96J87 	J:164563 	
MGI:1914185	Cir1	corepressor interacting with RBPJ, 1	2		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:893588	Cirbp	cold inducible RNA binding protein	10		positive regulation of mRNA splicing, via spliceosome			IBA	PTN000391532 	J:265628 	
MGI:1855695	Clasrp	CLK4-associating serine/arginine rich protein	7		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:107403	Clk1	CDC-like kinase 1	1		regulation of RNA splicing			IBA	PTN001527714 	J:265628 	
MGI:107403	Clk1	CDC-like kinase 1	1		regulation of RNA splicing			ISO	P49759 	J:164563 	
MGI:1098669	Clk2	CDC-like kinase 2	3		regulation of RNA splicing			IBA	PTN001527714 	J:265628 	
MGI:1098669	Clk2	CDC-like kinase 2	3		regulation of RNA splicing			ISO	P49760 	J:164563 	
MGI:1098670	Clk3	CDC-like kinase 3	9		regulation of RNA splicing			IBA	PTN001527714 	J:265628 	
MGI:1098670	Clk3	CDC-like kinase 3	9		regulation of RNA splicing			ISO	P49761 	J:164563 	
MGI:1098551	Clk4	CDC like kinase 4	11		regulation of RNA splicing			IBA	PTN001527714 	J:265628 	
